Id,Country,Year,Female_Under18,Female_Over18,Male_Under18,Male_Over18,Total_Under18,Total_Over18,VALUE
474,Belgium,2025,0.03676240863209188,0.15252488687782806,0.03757334411662332,0.15588940644130955,0.04514207530558341,0.18729158903380358,53.50081
475,Belgium,2026,0.03816275670031325,0.15833484162895928,0.039004582215761335,0.16182752195900982,0.04686162035994348,0.1944258717061485,54.410015
476,Belgium,2027,0.039589279498781764,0.1642533936651584,0.04046257242890195,0.16787663029012515,0.04861330644335702,0.20169350545648126,54.37695
477,Belgium,2028,0.041041977027497394,0.1702805429864253,0.041947314756045136,0.1740367314346553,0.050397133555824,0.20909449028480168,53.73837
478,Belgium,2029,0.04252084928646012,0.17641628959276018,0.043458809197190855,0.18030782539260046,0.052213101697344416,0.21662882619110993,53.531044
479,Iceland,2023,0.0400303025085656,0.08909970558358155,0.048036363010278714,0.10691964670029784,0.04056403987534648,0.0902877016580293,15.827883
480,Iceland,2024,0.041647526729911635,0.0926993336891582,0.04997703207589397,0.11123920042698986,0.042202827086310464,0.09393532480501367,16.230314
481,Iceland,2025,0.043296775193264574,0.09637024155920179,0.05195613023191749,0.11564428987104214,0.04387406552917477,0.09765517811332447,17.115862
482,Iceland,2026,0.04497804789862432,0.1001124291937122,0.05397365747834919,0.12013491503245466,0.045577755203939314,0.10144726158296172,18.008167
483,Iceland,2027,0.04669134484599094,0.10392589659268953,0.056029613815189123,0.12471107591122742,0.04731389611060415,0.10531157521392538,18.779245
484,Iceland,2028,0.048436666035364374,0.10781064375613365,0.05812399924243726,0.1293727725073604,0.04908248824916925,0.10924811900621546,19.24718
485,Iceland,2029,0.0502140114667447,0.11176667068404468,0.06025681376009364,0.13412000482085362,0.05088353161963462,0.11325689295983192,19.260412
486,Spain,2023,0.028349644244906526,0.07542565900021002,0.03174802431211929,0.08446722064692289,0.038634215500945174,0.10278827977315688,42.509712
487,Spain,2024,0.029494969872400748,0.0784728556238185,0.033030644494328916,0.08787969636105858,0.04019503780718335,0.1069409262759924,42.08027
488,Spain,2025,0.030662975215290888,0.08158039277462717,0.03433866309598821,0.09135974585171179,0.04178676748582228,0.11117580340264648,41.569427
489,Spain,2026,0.03185366027357696,0.08474827045263597,0.03567208011709722,0.09490736911888256,0.04340940453686198,0.11549291115311908,40.046852
490,Spain,2027,0.03306702504725898,0.08797648865784498,0.03703089555765596,0.09852256616257088,0.045062948960302454,0.11989224952741019,38.168198
491,Spain,2028,0.0343030695363369,0.09126504739025412,0.03841510941766435,0.1022053369827767,0.04674740075614367,0.12437381852551985,37.382393
492,Spain,2029,0.03556179374081073,0.09461394664986347,0.039824721697122444,0.10595568157950012,0.04846275992438562,0.12893761814744803,37.28149
493,Portugal,2023,0.043009522720123525,0.057122022362664046,0.03934913780777259,0.05226057365094796,0.08876433412451026,0.11789013125911517,28.34883
